ward,area_sqm,rooms,floor,building_age,distance_to_station_min,amenity_score,has_balcony,has_parking,is_remodeled,price_million_yen
Adachi,64.86,3,2,21.3,2.8,84.7,1,0,0,91.43
Sumida,97.54,5,18,1.2,5.1,95.6,1,0,0,202.53
Chiyoda,64.49,4,21,3.5,12.7,78.0,1,0,0,206.3
Shinagawa,106.73,4,10,9.0,11.9,73.9,0,1,0,149.69
Shinagawa,56.69,2,7,1.1,13.0,58.3,0,0,0,147.53
Meguro,83.62,3,1,43.9,2.3,100.0,1,0,1,197.79
Taito,29.01,2,30,14.3,14.5,57.0,0,1,0,106.32
Shinjuku,71.79,4,22,12.0,4.3,93.4,1,1,0,180.32
Edogawa,94.23,5,8,23.6,1.1,97.4,1,0,0,153.73
Itabashi,96.76,3,7,10.7,30.0,35.5,1,0,0,53.97
Suginami,114.9,4,8,9.4,2.4,94.5,1,0,0,183.54
Ota,41.06,3,14,14.5,6.0,79.7,1,1,0,126.2
Sumida,103.7,4,13,0.1,9.5,87.8,1,1,0,148.84
Minato,90.26,3,20,8.9,1.0,100.0,1,1,0,232.75
Shinagawa,75.61,3,24,32.4,13.5,76.8,1,1,1,162.98
Nerima,43.74,2,7,3.6,7.3,78.8,1,1,0,143.98
Adachi,63.85,4,15,10.1,7.3,88.1,0,0,1,98.27
Taito,100.3,5,2,32.9,3.2,100.0,0,1,1,149.06
Nakano,103.94,3,3,7.6,4.9,78.7,1,1,1,180.95
Itabashi,75.78,2,18,15.9,1.0,100.0,1,1,0,161.74
Shibuya,31.68,1,1,30.0,1.0,100.0,1,0,0,135.68
Meguro,76.35,4,20,7.5,5.3,88.3,1,1,0,259.75
Nerima,73.92,2,24,25.0,4.4,85.9,1,1,1,144.14
Toshima,87.89,4,26,1.0,10.0,89.3,1,1,0,191.22
Taito,20.0,1,1,9.0,25.5,69.5,0,1,1,79.66
Sumida,81.05,3,12,13.7,1.4,81.8,1,1,0,161.25
Arakawa,29.26,1,10,3.7,28.3,45.1,1,1,0,54.67
Kita,41.32,2,29,50.0,4.6,89.7,1,1,1,66.28
Chiyoda,104.46,4,7,0.8,17.4,65.7,1,0,0,146.7
Arakawa,63.85,3,5,26.8,7.6,83.4,0,0,1,106.97
Setagaya,67.18,3,4,22.8,1.0,92.7,1,0,0,143.34
Arakawa,23.98,2,29,2.8,11.5,66.8,0,0,0,73.74
Nerima,26.48,1,18,17.0,6.3,85.0,1,1,0,109.72
Sumida,63.51,4,16,0.2,4.9,90.8,1,1,0,153.77
Chuo,52.92,2,22,14.6,19.9,66.2,0,1,1,185.29
Sumida,72.95,3,5,16.0,3.8,88.4,1,0,0,147.23
Sumida,94.87,4,14,15.7,4.1,94.5,0,1,0,149.74
Shinagawa,54.46,2,27,5.6,1.3,100.0,1,0,0,193.56
Edogawa,102.88,4,6,4.5,1.0,100.0,1,1,0,189.21
Shinagawa,104.16,4,29,50.0,2.9,100.0,1,0,1,212.2
Taito,94.15,5,28,16.5,18.4,51.8,0,1,0,155.36
Koto,130.29,3,19,10.5,1.4,89.3,1,0,0,191.6
Toshima,74.92,4,3,1.1,8.1,86.5,1,1,0,173.74
Arakawa,22.44,1,25,4.8,5.1,96.4,1,1,0,116.97
Shinjuku,105.25,4,17,13.7,22.0,52.0,1,0,0,166.84
Meguro,56.14,3,8,1.3,1.2,100.0,1,1,0,175.78
Minato,44.0,1,22,36.9,6.8,84.6,1,1,0,151.07
Setagaya,48.15,1,10,19.2,13.3,88.5,1,1,1,118.33
Nakano,39.62,1,18,4.2,15.5,51.5,1,0,0,97.8
Shibuya,75.65,3,15,23.7,2.5,100.0,1,1,0,235.36
Ota,46.74,1,21,13.9,6.5,98.1,1,1,0,106.25
Koto,83.99,3,26,3.8,1.1,100.0,0,0,0,168.26
Katsushika,46.51,2,22,19.9,5.8,95.3,1,1,1,125.96
Itabashi,62.34,3,16,4.5,11.2,70.5,1,0,0,132.65
Nakano,20.0,1,15,12.0,1.0,89.4,0,0,0,94.48
Shinagawa,73.73,2,12,35.6,9.6,83.4,1,0,1,156.01
Edogawa,53.82,2,2,19.9,24.1,44.5,0,0,0,54.71
Kita,81.02,4,10,10.9,1.0,98.6,1,1,0,167.26
Shinjuku,57.9,3,8,10.8,3.6,100.0,1,0,0,123.76
Itabashi,55.02,2,1,5.6,1.4,100.0,1,1,0,169.48
Arakawa,89.12,3,23,9.8,9.1,73.5,1,0,0,169.38
Itabashi,76.02,3,27,9.1,3.6,84.3,1,1,0,146.89
Itabashi,44.72,2,20,8.6,6.5,96.3,0,1,0,128.11
Taito,83.02,2,27,13.6,2.7,78.2,0,0,0,166.07
Bunkyo,69.07,3,10,2.4,6.4,88.4,0,1,0,206.85
Arakawa,49.0,2,4,1.8,3.5,88.7,1,0,0,102.93
Minato,74.51,3,30,28.9,6.8,87.1,1,0,1,209.4
Adachi,67.43,3,12,10.9,2.0,100.0,1,0,0,127.49
Suginami,50.48,2,18,6.1,25.7,45.0,1,1,0,89.36
Ota,104.59,4,23,8.3,1.0,85.5,1,1,0,204.63
Nerima,86.66,3,4,10.4,16.1,87.6,1,1,0,127.89
Chuo,64.06,4,19,1.6,6.6,100.0,1,1,0,185.78
Chiyoda,113.64,5,8,33.1,6.4,100.0,1,1,0,215.73
Itabashi,105.9,4,6,10.6,16.4,63.6,1,1,0,118.9
Itabashi,90.73,5,23,11.4,3.3,74.8,1,1,0,149.35
Suginami,40.41,2,25,21.1,2.5,97.9,0,1,0,87.12
Shinjuku,53.38,1,15,50.0,17.9,45.7,1,1,0,61.42
Minato,25.07,2,7,4.1,5.6,85.6,0,0,0,175.89
Chuo,104.65,3,23,43.5,1.0,96.1,1,0,1,165.04
Minato,71.04,4,1,42.3,9.4,77.7,0,1,0,182.81
Nerima,54.59,2,22,50.0,27.0,51.3,0,0,1,25.94
Shibuya,93.01,3,9,15.3,15.0,46.6,1,1,1,242.64
Ota,130.83,3,27,0.6,1.8,100.0,0,0,0,179.62
Kita,20.0,1,7,16.8,6.2,100.0,1,1,0,74.61
Koto,81.34,2,14,2.4,20.5,55.3,1,0,0,146.71
Sumida,42.82,2,21,4.8,12.7,65.6,1,0,0,91.55
Suginami,63.52,3,21,7.8,15.9,60.7,0,1,1,171.09
Meguro,83.66,3,8,43.4,2.5,94.3,1,0,0,123.55
Minato,77.07,3,23,3.2,3.5,89.3,0,0,0,224.21
Minato,57.81,2,18,5.4,1.8,100.0,1,0,1,262.95
Sumida,66.1,2,1,13.1,5.9,84.4,1,1,1,156.47
Meguro,36.06,1,15,12.0,1.0,100.0,0,1,0,177.02
Chuo,123.03,5,6,6.5,13.2,63.4,0,1,0,233.76
Suginami,66.17,3,2,43.3,7.5,94.5,0,0,0,97.73
Taito,64.85,4,4,18.2,2.8,92.8,1,0,0,142.13
Chuo,111.66,4,13,12.4,8.6,87.9,1,0,0,234.24
Minato,20.0,1,6,6.5,6.8,79.7,1,1,0,167.13
Taito,48.88,3,14,27.3,3.6,94.0,1,1,1,118.9
Chuo,84.03,3,29,10.7,6.5,80.3,1,1,1,252.55
Edogawa,81.93,4,20,16.9,1.5,96.6,1,1,1,159.58
Kita,38.7,1,18,34.1,4.6,98.6,0,1,1,86.32
Taito,53.75,2,10,26.4,1.0,100.0,0,1,1,138.45
Kita,59.79,1,17,7.6,3.3,91.1,1,1,0,139.32
Koto,20.0,1,11,5.2,1.9,91.7,1,0,0,101.94
Koto,31.02,1,4,13.1,25.5,45.4,0,1,1,62.8
Shinagawa,75.8,2,26,28.5,21.5,46.4,1,0,0,106.49
Nerima,79.98,4,16,0.3,6.7,71.4,1,1,0,181.04
Nakano,102.69,4,29,36.4,3.8,87.5,1,1,1,193.95
Kita,81.47,3,4,2.9,5.0,100.0,0,0,0,140.56
Chiyoda,79.69,3,24,8.5,1.1,100.0,1,0,0,206.21
Shinjuku,93.06,3,3,5.9,25.9,29.7,0,0,0,130.61
Shibuya,101.73,5,29,38.1,2.9,87.8,0,1,1,177.62
Koto,113.87,3,16,6.8,8.8,59.1,1,1,0,149.95
Arakawa,91.82,5,18,4.5,3.8,79.3,1,1,0,140.79
Taito,99.88,4,9,14.5,4.9,100.0,1,1,1,234.0
Chuo,89.69,2,10,1.2,5.5,98.1,1,1,0,205.7
Chuo,64.41,3,1,41.7,10.3,74.6,1,1,1,125.97
Suginami,116.96,4,4,9.5,2.5,100.0,1,0,1,172.69
Adachi,106.33,4,21,37.4,4.9,95.9,0,1,1,156.81
Shinjuku,55.99,2,18,23.9,3.4,85.8,1,0,1,174.53
Shibuya,52.8,2,13,6.1,12.1,59.6,1,1,0,188.74
Taito,75.99,2,8,32.9,3.9,100.0,0,1,1,141.71
Sumida,141.82,3,6,0.3,1.0,96.8,1,0,0,201.36
Nakano,36.72,1,24,13.1,6.0,83.3,1,0,0,116.12
Sumida,72.32,2,28,17.4,4.5,66.7,1,1,0,118.66
Toshima,76.79,2,30,11.4,9.2,78.0,1,0,0,112.25
Adachi,110.6,5,15,18.5,2.0,91.4,1,0,0,199.01
Katsushika,77.36,3,6,10.2,23.3,61.9,0,1,0,112.67
Itabashi,106.54,3,4,5.0,6.3,97.7,0,1,0,134.22
Sumida,44.49,1,17,7.0,12.9,69.1,1,1,0,116.7
Chiyoda,93.26,4,16,12.1,15.7,71.9,0,0,0,173.43
Shinagawa,88.38,2,5,3.1,11.4,77.6,0,0,0,143.09
Setagaya,27.06,1,24,4.4,22.5,35.8,1,1,0,107.68
Setagaya,30.99,1,3,50.0,4.1,100.0,1,1,1,91.45
Chuo,46.97,2,30,0.9,1.4,89.7,0,1,0,175.64
Taito,65.06,3,8,9.6,5.4,100.0,0,1,0,126.84
Shibuya,28.92,1,17,5.3,14.9,63.2,1,1,0,139.74
Toshima,69.9,4,8,3.0,1.0,100.0,1,1,0,161.45
Meguro,44.22,2,13,9.7,8.3,76.2,1,1,0,184.95
Chuo,110.46,4,24,9.0,2.2,99.5,1,0,0,235.22
Ota,51.79,1,10,9.6,16.7,61.2,1,0,1,101.49
Sumida,75.01,4,14,5.1,28.7,22.1,1,1,0,118.4
Ota,61.95,3,13,23.4,1.6,98.0,1,1,0,133.9
Kita,113.63,4,14,12.7,5.1,100.0,1,0,1,190.29
Ota,99.99,4,23,21.2,2.5,100.0,1,1,0,166.75
Shinagawa,89.83,2,6,5.7,1.9,93.3,0,1,0,224.98
Bunkyo,54.47,2,24,38.9,6.5,92.0,0,0,0,94.71
Suginami,63.4,2,2,16.0,12.3,94.5,1,1,0,136.54
Setagaya,104.87,3,18,12.9,9.0,91.0,1,0,0,179.75
Suginami,42.33,1,23,41.6,1.2,83.1,1,1,0,81.08
Setagaya,78.73,4,10,4.5,2.2,82.4,0,0,0,154.75
Minato,89.8,4,10,4.4,2.8,90.4,1,1,1,330.67
Adachi,37.83,1,20,50.0,1.1,100.0,1,0,1,68.81
Toshima,78.86,4,15,13.6,3.9,88.8,1,1,0,188.89
Toshima,79.92,3,28,2.0,1.6,84.7,1,1,0,208.2
Adachi,74.89,3,24,11.6,1.2,100.0,1,1,0,170.47
Itabashi,61.69,3,5,18.0,4.9,89.5,1,0,0,121.35
Adachi,71.28,3,9,30.5,1.0,98.7,1,0,0,123.64
Meguro,80.28,3,5,0.2,18.7,68.4,0,0,0,226.88
Ota,77.44,3,20,10.9,3.4,96.7,1,1,0,167.46
Edogawa,90.82,3,17,0.2,1.8,100.0,1,1,0,194.19
Chuo,64.54,3,3,13.6,1.0,100.0,1,1,0,173.24
Koto,130.36,4,2,3.9,15.1,97.2,0,1,0,235.22
Shinjuku,64.64,3,21,38.9,4.7,84.6,1,0,0,119.02
Bunkyo,70.75,3,2,50.0,7.7,83.9,0,1,1,149.58
Bunkyo,63.64,3,11,6.6,8.4,82.0,0,1,0,182.52
Chiyoda,56.29,2,21,6.8,5.6,91.0,1,1,1,169.48
Meguro,134.1,5,19,17.4,9.2,93.7,1,1,0,212.84
Suginami,63.04,4,16,27.2,6.4,85.4,1,1,1,157.08
Shibuya,44.1,1,28,3.4,2.5,93.0,0,1,0,179.33
Koto,64.73,2,27,13.7,1.8,97.4,0,0,1,169.61
Arakawa,89.31,4,15,20.0,9.5,73.8,1,1,1,144.89
Chuo,52.84,2,19,11.7,5.4,97.3,1,0,0,157.96
Bunkyo,144.32,5,10,3.2,3.1,100.0,1,0,0,201.89
Chiyoda,50.34,1,15,40.8,1.0,99.9,1,1,1,140.61
Chiyoda,34.06,1,22,28.2,5.4,85.6,1,1,1,186.55
Itabashi,118.72,5,24,3.0,4.7,88.9,0,1,0,215.14
Arakawa,100.16,5,20,13.5,1.0,100.0,0,1,1,139.33
Meguro,95.3,4,13,0.3,6.2,78.1,1,0,0,239.15
Koto,121.12,4,28,7.8,3.7,89.3,1,1,0,218.96
Arakawa,91.72,3,28,10.0,4.4,85.5,0,1,0,156.42
Ota,72.7,4,2,2.3,1.1,100.0,0,1,0,98.17
Kita,69.03,3,22,8.0,4.5,75.9,1,1,0,141.73
Katsushika,64.92,2,3,6.4,9.8,61.0,1,1,0,163.59
Adachi,68.99,4,19,30.9,4.2,96.2,0,1,1,130.22
Meguro,98.0,4,17,1.7,1.0,94.4,1,1,0,254.47
Meguro,43.43,1,12,0.5,8.9,78.5,1,1,0,191.57
Sumida,20.0,1,20,13.8,30.0,33.3,1,1,0,22.32
Shinjuku,97.21,4,17,10.3,4.9,75.6,1,0,0,157.65
Shibuya,87.69,3,15,2.4,6.8,73.4,0,1,0,200.89
Edogawa,36.25,1,20,4.3,5.4,90.0,1,1,0,161.0
Itabashi,135.06,4,26,17.5,9.8,88.0,1,0,0,129.98
Shinagawa,72.27,2,7,3.5,23.6,35.1,1,0,0,159.68
Sumida,50.98,2,12,1.5,15.5,82.0,1,1,0,116.12
Meguro,107.12,4,4,19.0,2.0,93.3,0,1,0,202.94
Katsushika,68.69,3,12,6.7,1.7,91.0,1,1,0,141.14
Shinjuku,76.38,3,27,1.1,15.7,57.7,1,0,0,185.58
Bunkyo,87.43,3,18,18.3,1.4,90.7,0,1,1,215.76
Koto,85.57,4,12,25.6,6.6,98.3,1,1,0,154.14
Nerima,75.52,4,24,7.1,13.3,72.3,1,1,0,154.0
Shibuya,26.59,1,27,16.3,10.8,69.3,1,1,1,156.95
Nerima,114.03,4,26,34.3,1.7,100.0,1,1,1,210.98
Shinjuku,100.77,4,11,0.9,12.9,81.6,0,1,0,214.75
Shinjuku,104.8,5,15,9.3,30.0,44.1,1,1,0,170.75
Shibuya,83.79,3,9,3.1,8.7,91.8,1,0,0,239.6
Shinagawa,74.95,3,9,20.0,12.0,79.1,0,1,0,173.21
Setagaya,67.65,2,6,3.5,2.4,90.0,1,0,0,146.76
Setagaya,120.69,3,29,3.8,7.6,98.7,1,1,0,249.66
Shinagawa,57.75,2,26,7.2,11.7,69.5,1,0,0,172.31
Ota,43.38,2,25,24.4,17.4,71.9,1,0,1,78.76
Koto,70.33,3,27,50.0,3.7,80.9,1,0,0,99.34
Katsushika,92.72,4,9,4.2,1.0,100.0,1,0,0,166.3
Minato,71.84,3,3,11.1,19.7,54.3,1,0,0,176.19
Arakawa,45.9,1,23,1.1,4.2,85.3,1,1,0,109.48
Itabashi,23.73,1,19,8.8,3.4,100.0,1,1,1,125.28
Adachi,50.73,2,30,47.8,1.0,94.5,0,0,1,78.89
Chiyoda,42.16,2,9,10.3,3.4,100.0,1,0,1,226.83
Sumida,20.0,1,14,10.0,11.9,79.6,0,1,0,64.94
Bunkyo,31.27,1,6,6.1,6.0,97.0,1,1,0,169.01
Chuo,73.98,3,12,4.5,4.2,100.0,1,0,0,193.55
Meguro,86.79,3,24,2.4,30.0,54.3,1,1,0,198.52
Katsushika,73.23,2,1,2.3,2.0,90.1,1,1,0,153.98
Kita,67.14,4,6,1.4,10.6,73.2,1,1,0,174.67
Arakawa,68.27,2,1,7.6,30.0,35.2,0,0,0,54.57
Toshima,91.78,3,11,17.0,9.6,100.0,1,1,0,193.89
Minato,53.23,2,13,32.9,5.0,69.2,0,1,0,165.78
Taito,50.98,2,22,10.8,2.3,100.0,1,0,0,121.14
Katsushika,27.67,2,8,18.9,5.4,78.2,0,1,0,102.78
Edogawa,78.76,2,11,17.3,2.0,100.0,1,1,1,166.34
Taito,20.0,1,16,2.4,6.4,75.3,1,1,0,141.97
Chiyoda,72.32,3,1,30.9,6.0,81.8,0,1,0,152.87
Ota,84.06,2,4,46.3,3.7,88.2,1,1,0,111.53
Koto,42.22,1,14,15.5,30.0,30.1,0,1,0,45.84
Nerima,96.02,4,26,24.7,27.2,58.0,1,1,1,130.47
Toshima,56.41,3,16,6.6,2.3,100.0,1,1,0,184.53
Arakawa,71.09,4,21,2.6,9.0,78.3,0,1,0,147.51
Nakano,20.0,1,10,8.4,1.0,90.0,1,1,0,104.44
Kita,51.19,3,27,8.7,11.8,100.0,1,0,0,123.85
Katsushika,20.0,2,3,9.2,30.0,53.2,0,0,1,38.25
Sumida,102.9,4,25,20.1,2.5,94.9,1,1,1,178.34
Chiyoda,40.67,2,12,20.2,6.2,84.6,0,1,0,187.09
Edogawa,26.97,1,23,27.2,2.7,90.8,1,1,1,77.49
Chiyoda,80.38,3,1,5.1,14.1,86.3,1,1,0,210.87
Chuo,20.0,2,13,8.8,4.7,69.7,0,0,0,136.69
Shinjuku,67.27,3,22,14.9,13.0,59.2,1,1,1,212.71
Ota,51.35,3,3,2.9,3.3,87.1,0,1,0,116.94
Katsushika,60.31,3,27,7.6,14.4,78.0,1,1,0,142.13
Kita,67.04,3,7,13.3,14.8,76.3,0,1,0,83.54
Setagaya,74.74,3,23,8.2,1.7,99.3,1,0,0,195.21
Nerima,110.68,4,10,17.4,1.0,93.0,1,1,0,196.6
Suginami,43.59,2,14,9.5,1.0,91.4,1,0,0,111.13
Taito,74.04,3,28,2.6,1.0,100.0,1,1,0,161.36
Adachi,66.83,3,7,38.5,3.2,91.8,1,0,1,101.52
Setagaya,20.0,2,15,12.9,1.0,100.0,0,0,0,91.47
Toshima,142.21,5,14,6.2,1.0,100.0,1,1,0,294.91
Itabashi,50.05,2,1,47.8,10.3,100.0,1,1,0,59.86
Shinjuku,50.32,2,24,6.1,1.1,100.0,1,1,0,117.4
Itabashi,96.12,3,9,2.6,5.6,92.9,1,0,0,189.54
Kita,54.61,1,2,15.2,15.3,65.0,1,0,0,99.84
Ota,20.0,1,15,9.0,12.6,81.9,1,1,0,103.23
Ota,76.46,4,6,2.9,1.0,84.1,1,0,0,178.6
Shinjuku,117.78,4,23,3.7,2.4,97.0,0,0,0,328.43
Itabashi,65.64,2,24,10.7,9.8,79.6,0,1,0,119.38
Koto,76.02,3,10,15.9,5.3,100.0,1,0,1,124.04
Sumida,64.15,2,7,30.5,4.3,94.4,1,0,0,117.97
Adachi,96.6,3,2,8.8,3.5,100.0,1,0,1,167.27
Shinjuku,102.8,3,26,0.3,1.3,95.9,0,0,0,187.87
Chiyoda,79.88,3,28,3.8,7.6,78.8,1,0,0,213.02
Koto,42.62,2,18,12.1,1.1,95.1,1,1,0,120.09
Adachi,63.77,3,15,41.2,24.9,51.5,0,1,1,50.17
Minato,102.31,5,2,2.1,5.1,91.5,1,1,0,149.37
Chuo,27.2,1,28,8.1,16.0,64.8,0,1,0,110.94
Nakano,33.68,1,10,9.5,15.6,62.4,1,0,1,91.5
Adachi,77.84,3,11,4.7,13.7,66.2,1,1,0,161.57
Taito,65.1,2,9,28.5,24.7,44.9,0,1,1,88.63
Adachi,26.47,1,30,11.3,4.8,71.4,0,0,0,77.21
Arakawa,22.59,2,4,20.8,2.9,82.3,1,1,0,86.38
Shinjuku,20.0,1,25,2.9,11.9,73.3,1,1,0,130.11
Sumida,78.48,3,15,4.3,3.8,78.5,1,1,0,216.38
Shinjuku,90.07,3,11,3.2,5.4,100.0,1,0,0,186.77
Ota,104.28,3,21,24.6,1.9,97.4,0,0,0,163.55
Shinagawa,101.41,5,7,9.4,28.0,44.3,1,1,0,149.82
Nerima,41.48,2,10,50.0,12.6,73.9,1,1,1,50.68
Bunkyo,120.23,5,26,45.8,3.6,88.3,1,0,1,169.43
Nakano,84.93,3,15,10.4,8.5,77.7,1,1,0,180.16
Taito,89.81,2,3,46.3,19.9,67.6,1,0,1,73.53
Shinagawa,120.37,4,1,7.7,5.2,66.1,1,0,0,234.79
Meguro,62.91,3,20,17.7,1.0,97.0,1,0,0,190.63
Shinagawa,116.31,3,29,6.4,4.6,79.0,1,0,0,219.13
Meguro,28.86,1,17,20.1,1.0,84.6,1,1,0,109.53
Shinjuku,62.75,3,7,11.9,3.3,96.8,0,0,0,113.6
Shinagawa,58.36,1,25,8.5,3.5,80.5,0,0,0,122.46
Adachi,59.25,2,19,14.8,4.8,100.0,0,1,0,90.48
Edogawa,74.96,3,14,11.4,5.2,97.2,1,1,0,186.09
Suginami,66.58,3,29,9.6,12.5,74.9,0,1,0,112.61
Arakawa,20.0,2,4,17.7,9.8,82.5,1,1,1,92.94
Setagaya,67.19,3,17,26.2,2.8,91.0,1,1,0,178.99
Shibuya,54.29,2,27,14.6,1.3,93.5,1,0,1,219.03
Ota,35.32,2,1,0.8,6.5,75.9,0,0,0,107.78
Meguro,54.73,2,18,23.5,7.9,75.5,1,0,0,140.79
Shinjuku,57.55,2,3,31.8,1.0,100.0,1,0,1,160.02
Toshima,71.63,2,20,17.9,6.9,95.1,0,0,1,158.21
Minato,20.0,1,10,10.2,6.8,77.7,0,1,0,146.73
Shinjuku,50.22,2,8,25.5,3.7,100.0,1,1,1,144.29
Kita,46.69,2,10,10.7,1.0,99.2,1,1,1,156.1
Arakawa,33.88,1,25,3.2,1.0,92.6,1,1,0,107.26
Shibuya,76.88,3,23,9.2,1.7,83.1,1,1,0,218.34
Katsushika,82.1,3,14,32.6,3.6,80.5,1,1,1,148.48
Edogawa,79.29,3,6,11.3,2.7,100.0,1,0,1,171.61
Adachi,96.44,5,3,23.4,2.1,81.0,1,1,1,147.83
Toshima,83.59,3,7,11.5,7.3,82.8,1,0,0,173.61
Shinagawa,95.57,4,2,4.2,1.5,100.0,1,1,0,199.91
Ota,24.79,2,14,39.6,7.2,87.1,0,0,1,71.06
Edogawa,97.15,4,5,8.8,8.6,76.3,1,0,1,163.41
Chiyoda,77.37,2,4,10.5,4.9,76.1,0,0,0,183.0
Suginami,51.36,2,2,8.3,1.1,100.0,1,1,0,112.42
Itabashi,108.85,3,24,18.4,1.1,100.0,1,1,1,221.47
Taito,108.32,4,6,50.0,6.2,68.7,1,1,1,92.95
Meguro,88.68,3,20,19.0,3.3,100.0,1,1,0,163.41
Shinjuku,68.2,3,19,27.0,11.2,54.1,1,0,0,102.98
Suginami,125.86,4,21,2.3,1.0,100.0,0,1,0,199.54
Bunkyo,95.5,5,12,4.2,3.8,86.0,1,0,0,207.51
Nerima,35.09,1,7,0.9,7.7,85.2,1,0,0,117.49
Chuo,20.0,2,24,25.7,1.0,100.0,1,0,0,140.44
Minato,113.81,3,24,1.3,2.7,97.2,1,1,0,277.11
Itabashi,141.23,3,1,41.9,4.9,97.3,0,0,1,153.64
Shinjuku,110.06,4,30,4.0,17.0,58.2,1,1,0,217.31
Nakano,115.74,3,26,3.0,3.6,87.8,1,1,0,137.09
Chuo,20.0,2,4,18.3,9.1,67.5,1,0,1,98.17
Kita,58.51,2,4,14.4,8.8,92.3,1,0,1,120.18
Kita,83.97,3,5,9.1,1.0,86.7,1,0,0,149.51
Minato,90.38,5,16,12.4,22.9,44.2,1,1,0,202.58
Shinagawa,46.24,2,17,31.7,6.4,75.3,0,1,1,137.15
Chuo,30.58,2,19,4.2,8.4,94.8,0,1,0,166.1
Edogawa,77.75,4,27,13.1,10.5,76.0,1,1,1,176.64
Katsushika,100.4,5,27,4.9,1.8,100.0,1,0,0,151.57
Shinjuku,86.02,3,13,2.8,15.9,50.4,1,0,0,173.81
Kita,94.76,4,13,20.9,1.0,96.0,1,0,0,120.87
Minato,97.58,3,26,12.2,5.5,96.6,1,0,0,252.44
Itabashi,64.46,4,14,23.9,1.0,91.9,0,1,1,146.44
Nakano,84.57,3,8,8.1,9.2,100.0,1,1,1,166.18
Chiyoda,107.23,3,29,6.4,5.4,78.7,0,0,0,221.56
Nakano,121.44,4,2,17.1,17.7,63.6,0,0,0,127.69
Arakawa,43.73,2,29,2.1,21.7,53.0,0,1,0,82.01
Nerima,98.21,4,6,4.6,6.9,68.5,1,1,0,166.67
Bunkyo,68.77,3,25,29.7,3.2,89.7,1,1,0,161.79
Shinagawa,102.94,4,28,8.6,2.6,74.9,1,0,0,159.05
Taito,78.26,4,13,22.2,23.7,49.3,1,0,1,97.83
Katsushika,52.85,1,29,16.5,3.6,100.0,1,1,0,129.93
Nerima,80.45,3,6,10.7,9.7,79.6,1,0,0,154.47
Taito,32.5,2,29,11.2,3.2,86.5,1,0,0,160.45
Suginami,90.68,4,30,12.7,22.2,55.8,1,1,1,156.0
Kita,77.15,3,2,1.3,12.7,92.2,1,1,0,121.7
Katsushika,100.05,3,25,50.0,12.6,94.2,0,1,1,104.61
Arakawa,107.46,3,16,31.3,4.9,100.0,0,1,1,161.15
Toshima,118.37,5,18,13.2,4.0,100.0,1,0,0,160.93
Shinjuku,91.56,3,1,21.5,3.5,90.2,1,1,0,157.63
Meguro,60.01,4,18,0.8,9.3,86.4,1,1,0,151.92
Taito,95.78,4,12,4.3,2.2,93.7,1,1,0,228.96
Adachi,76.05,3,28,5.0,7.2,76.6,1,1,0,182.79
Nerima,143.38,4,30,11.7,1.0,100.0,1,0,0,203.43
Edogawa,36.55,1,16,50.0,14.0,59.3,0,1,1,28.0
Taito,65.13,3,8,32.9,3.8,94.7,1,1,1,82.46
Sumida,43.32,1,1,1.8,4.8,90.6,1,1,0,125.49
Shinagawa,73.79,4,18,12.2,6.7,74.5,0,1,0,162.15
Edogawa,64.45,3,25,11.7,7.4,69.8,1,1,0,160.21
Katsushika,129.18,3,21,4.7,2.0,88.1,1,1,0,184.08
Itabashi,53.06,3,12,23.5,17.2,54.3,0,0,1,93.3
Meguro,52.4,3,9,16.9,18.5,63.8,1,1,0,160.94
Sumida,20.0,1,8,50.0,30.0,50.1,1,1,0,10.0
Koto,73.14,2,6,50.0,13.1,69.2,1,0,1,66.28
Kita,70.69,4,26,35.0,1.0,94.6,0,1,0,129.56
Taito,45.24,2,4,9.0,10.6,73.7,1,1,0,120.87
Katsushika,27.91,1,15,16.7,9.4,79.9,1,0,0,65.19
Kita,34.33,2,19,8.7,12.4,63.8,1,1,0,124.05
Taito,93.24,4,25,40.4,2.5,91.7,1,1,1,164.33
Koto,77.98,3,6,3.0,8.3,88.4,1,1,0,173.47
Setagaya,54.59,2,17,1.5,2.3,100.0,1,1,0,208.04
Sumida,105.99,4,22,1.8,9.2,67.4,1,1,0,170.98
Toshima,95.86,3,21,5.8,1.0,94.8,1,1,0,201.12
Shinjuku,77.29,3,23,8.9,16.0,69.7,1,0,0,175.58
Bunkyo,73.14,3,22,5.4,17.6,58.4,0,0,0,183.45
Shinjuku,119.2,3,10,2.0,1.0,95.8,1,0,0,245.41
Nerima,70.35,3,10,6.4,14.8,57.0,1,0,0,102.89
Chuo,98.18,4,3,0.9,7.1,82.7,1,1,0,223.31
Bunkyo,33.62,1,18,2.0,4.9,90.9,1,1,0,135.73
Ota,45.04,2,1,2.7,1.0,87.1,1,0,0,97.8
Nakano,28.81,2,29,6.2,2.9,95.1,1,0,0,146.42
Suginami,109.44,4,1,10.6,8.4,92.8,1,1,0,114.47
Katsushika,69.46,3,9,4.2,1.0,100.0,1,1,0,162.99
Shibuya,43.68,2,10,19.4,20.8,47.9,0,0,0,135.83
Adachi,69.99,2,13,1.1,4.7,85.9,1,0,0,115.6
Shinjuku,47.08,3,20,21.0,2.3,100.0,1,0,1,175.45
Nakano,43.65,3,8,9.9,1.5,88.0,1,1,0,159.03
